out_units,lr,optimizer,p_dropout,epochs,use_early_stopping,activation_function,batch_size,momentum,l2_reg,outer_fold,inner_fold,inner_train_loss,inner_eval_loss
4,0.001,Adam,0.2,1000,True,relu,64,0.0,0.0,1,1,0.031,0.048
4,0.001,Adam,0.2,1000,True,relu,64,0.0,0.1,1,1,0.083,0.085
4,0.001,Adam,0.2,1000,True,relu,64,0.1,0.0,1,1,0.024,0.041
4,0.001,Adam,0.2,1000,True,relu,64,0.1,0.1,1,1,0.065,0.061
4,0.001,Adam,0.2,1000,False,relu,64,0.0,0.0,1,1,0.021,0.051
4,0.001,Adam,0.2,1000,False,relu,64,0.0,0.1,1,1,0.063,0.062
4,0.001,Adam,0.2,1000,False,relu,64,0.1,0.0,1,1,0.024,0.066
4,0.001,Adam,0.2,1000,False,relu,64,0.1,0.1,1,1,0.063,0.062
8,0.001,Adam,0.2,1000,True,relu,64,0.0,0.0,1,1,0.018,0.051
8,0.001,Adam,0.2,1000,True,relu,64,0.0,0.1,1,1,0.055,0.058
8,0.001,Adam,0.2,1000,True,relu,64,0.1,0.0,1,1,0.018,0.045
8,0.001,Adam,0.2,1000,True,relu,64,0.1,0.1,1,1,0.057,0.059
8,0.001,Adam,0.2,1000,False,relu,64,0.0,0.0,1,1,0.013,0.056
8,0.001,Adam,0.2,1000,False,relu,64,0.0,0.1,1,1,0.055,0.058
8,0.001,Adam,0.2,1000,False,relu,64,0.1,0.0,1,1,0.013,0.053
8,0.001,Adam,0.2,1000,False,relu,64,0.1,0.1,1,1,0.056,0.058
12,0.001,Adam,0.2,1000,True,relu,64,0.0,0.0,1,1,0.013,0.046
12,0.001,Adam,0.2,1000,True,relu,64,0.0,0.1,1,1,0.055,0.058
12,0.001,Adam,0.2,1000,True,relu,64,0.1,0.0,1,1,0.012,0.047
12,0.001,Adam,0.2,1000,True,relu,64,0.1,0.1,1,1,0.057,0.058
12,0.001,Adam,0.2,1000,False,relu,64,0.0,0.0,1,1,0.009,0.052
12,0.001,Adam,0.2,1000,False,relu,64,0.0,0.1,1,1,0.055,0.058
12,0.001,Adam,0.2,1000,False,relu,64,0.1,0.0,1,1,0.009,0.059
12,0.001,Adam,0.2,1000,False,relu,64,0.1,0.1,1,1,0.056,0.057
16,0.001,Adam,0.2,1000,True,relu,64,0.0,0.0,1,1,0.011,0.045
16,0.001,Adam,0.2,1000,True,relu,64,0.0,0.1,1,1,0.055,0.058
16,0.001,Adam,0.2,1000,True,relu,64,0.1,0.0,1,1,0.011,0.043
16,0.001,Adam,0.2,1000,True,relu,64,0.1,0.1,1,1,0.057,0.057
16,0.001,Adam,0.2,1000,False,relu,64,0.0,0.0,1,1,0.008,0.054
16,0.001,Adam,0.2,1000,False,relu,64,0.0,0.1,1,1,0.054,0.057
16,0.001,Adam,0.2,1000,False,relu,64,0.1,0.0,1,1,0.007,0.052
16,0.001,Adam,0.2,1000,False,relu,64,0.1,0.1,1,1,0.054,0.057
4,0.001,Adam,0.2,1000,True,relu,64,0.0,0.0,1,2,0.033,0.041
4,0.001,Adam,0.2,1000,True,relu,64,0.0,0.1,1,2,0.06,0.058
4,0.001,Adam,0.2,1000,True,relu,64,0.1,0.0,1,2,0.033,0.043
4,0.001,Adam,0.2,1000,True,relu,64,0.1,0.1,1,2,0.058,0.057
